rowID,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
801,3,"dough, flour, tomato sauce, pepperoni, cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15-18,The Boy and the Herron,Coca-cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
802,2,4,"Weekend dinner,At a party",$6,Superbad,Ginger ale,Friends,None,Pizza
803,3,8,"Week day lunch,Week day dinner,At a party",Probably from $3-7. ,Home Alone,"Any soda: Pepsi, Coca Cola, Crush, Canada Dry",Friends,None,Pizza
804,3,"For regular cheese pizza, one will need the following ingredients:

1. Flour

2. Water

3. Tomato Sauce

4. Cheese

5. Yeast

 

So in total, five ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","For one slice, I would expect to pay around $3.

 

However for a whole pizza box, it would depend on the size. If small, then around $10. If medium, then around $12. If large, then around $15",Teenage Mutant Ninja Turtles vs Batman. The TMNT love pizza and they eat it with batman at the end of the movie.,Sprite. Or perhaps any pop drink would go well with pizza. ,"Siblings,Friends",None,Pizza
805,3,"4 ingredients - dough, cheese, toppings, and pizza sauce.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,Home Alone,soda,Friends,None,Pizza
806,1,3 to 6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10 to 20 dollars,Spider-Man 2,Coca-Cola,"Friends,Teachers",None,Pizza
807,4,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7,Teenage Mutant Ninja Turtles,Coke,Friends,None,Pizza
808,4,7,"Week day lunch,Weekend lunch,At a party,Late night snack",$10,The Grinch.,Coke,"Parents,Siblings,Friends,Teachers,Strangers",None,Pizza
809,3,"At least 3

 the dough, tomatoes sauce, and cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 15 for the most basic pizza,None,Pop drink,Friends,None,Pizza
810,5,6-8,"Week day lunch,Week day dinner,At a party,Late night snack",~$5,back to the future,pepsi/water,"Parents,Siblings,Friends,Teachers",None,Pizza
811,3,At least 4,"Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 20 CAD,The Hangover,Coke,Friends,A little (mild),Pizza
812,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Teenage Mutant Ninja Turtles,Soda,Friends,A little (mild),Pizza
813,4,"9: Flour, Levain (at peak) or instant yeast, water, salt, olive oil, tomatoes, mozzarella, basil","Weekend lunch,Weekend dinner,At a party",$12-20 depending on size,Home Alone,Water,Friends,None,Pizza
814,3,zero to four,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2-4$ ,Teenage mutant ninja turtles,Soda or water.,"Friends,Teachers",A moderate amount (medium),Pizza
815,2,five ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 dollars,spiderman,coke,"Siblings,Friends",None,Pizza
816,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6.00,Set it up,Coke ,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
817,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,None,Coke,Teachers,None,Pizza
818,1,5 or 6 ingredients,At a party,$10,Spiderman 2,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
819,2,3-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,"Mufasa, The Lion King",Coke,Friends,None,Pizza
820,3,"4 toppings

3 base ingredients (dough, cheese, sauce)","Weekend dinner,At a party,Late night snack",$20,Dune,sprite,"Parents,Friends,Strangers",A little (mild),Pizza
821,3,A minimum of 3.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",One slice should be no more than 5 dollars. ,Cloudy with a chance of meatballs,Soda,Friends,A little (mild),Pizza
822,4,9,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$4,The Lego Movie,Pepsi,"Friends,Teachers,Strangers",A little (mild),Pizza
823,3,5,"Weekend dinner,At a party",$3,Ratatouille,Diet Coke,Friends,A moderate amount (medium),Pizza
824,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4,The Big Lebowski,Soda,"Siblings,Friends",None,Pizza
825,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,None,diet coke,Friends,None,Pizza
826,3,5-10,"Week day lunch,At a party,Late night snack","I think the price of a full pizza should be 20 CAD. 

The price for a full adult male to eat should be 10 CAD",Fight Club,Diet Pepsi,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
827,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2,Teenage Mutant Ninja Turtles,Coca Cola,"Parents,Siblings,Friends",None,Pizza
828,2,3,"Weekend lunch,At a party",12,spiderman,cocacola,"Parents,Teachers",A little (mild),Pizza
829,3,10,"Weekend lunch,At a party",$15,Transformers,Pepsi,Friends,A little (mild),Pizza
830,3,"I would expect this food item to contain at least eight ingredients, taking a base recipe for cheese pizza as an example: water, sugar, yeast, oil, salt, flour, tomatoes, cheese.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Taking one slice as one serving, I would expect to pay $5.",I don't have a movie I think of when I think of pizza.,I would pair coke with pizza.,"Parents,Siblings",None,Pizza
831,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 CAD,Cloudy with a Chance of Meatballs,Coke with ice,"Parents,Siblings,Friends",None,Pizza
832,2,"At the bare minimum, pizza dough, cheese, tomato sauce. (3 Ingredients)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,Home Alone,Coca Cola,"Parents,Friends",None,Pizza
833,4,7-15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8-$24,Interstellar,Coke Zero,"Parents,Siblings,Friends",None,Pizza
834,2,6,"Week day dinner,Weekend dinner,At a party",18,Futurama: Bender's Big Score,Coke,"Parents,Siblings,Friends",None,Pizza
835,3,5,"Weekend lunch,Weekend dinner,At a party,Late night snack",15,teenage mutant ninja turtles,pepsi,Friends,None,Pizza
836,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 CAD,The Italian Job,Water,Friends,None,Pizza
837,5,5,"Weekend dinner,At a party",15,Godfather,Coke,"Parents,Friends",A little (mild),Pizza
838,2,"This food should contain at least 3 ingredients, but could include as many as the user wants. However, any number over 6 ingredients weighs the slices down too much and the pizza is less fun to eat.","Week day dinner,Weekend lunch,Weekend dinner,At a party","For one whole 10-inch pizza I would expect to pay $10, but for a single slice from a 16-inch pizza I would pay $6",Teenage Mutant Ninja Turtles,Soda,Friends,None,Pizza
839,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",around 13 dollars,Back to the Future Part 2,diet coke,"Friends,Strangers",None,Pizza
840,2,"At a bare minimum, 3 - dough, cheese, and salsa.

At a maximum, around 4-5 toppings on top of this.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,Spiderman,Coke,Friends,None,Pizza
841,2,3-20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10-30 Canadian dollars,Spider Man,Coca-Cola,Friends,None,Pizza
842,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",None,Pizza
843,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 to $20,"any kind really, probably something more relaxed for leisure",water,"Parents,Siblings,Friends",None,Pizza
844,2,5,"Week day lunch,Weekend lunch,At a party",4,Monster House,Coke,"Siblings,Friends",A little (mild),Pizza
845,3,5,"Week day lunch,At a party",$25,Spiderman,Pepsi,Friends,A lot (hot),Pizza
846,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,Cloudy with a Chance of Meatballs,sprite,Friends,None,Pizza
847,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,the godfather,soda,Friends,A little (mild),Pizza
848,3,At least three ingredients.,"Weekend lunch,Weekend dinner,At a party",5 CAD.,Spider-man 2.,Pepsi.,"Siblings,Friends",None,Pizza
849,3,3,"Week day dinner,At a party",$16,Harry Potter,Coke,Friends,None,Pizza
850,2,Around 5–10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2 – $5,Home alone because Kevin orders an entire one for himself.,"Soda (i.e. Coke, Pepsi, etc.)",Friends,None,Pizza
851,3,"Tomato sauce, cheese, ham, pepperoni, pineapple, dough","At a party,Late night snack",$25 for 12 inch.,Italian movie,Coke,"Friends,Teachers",None,Pizza
852,3,6+,"Week day lunch,Weekend lunch,At a party,Late night snack",$10-20,TNMT,Coca Cola,"Friends,Teachers",A little (mild),Pizza
853,4,5,"Week day lunch,Weekend lunch,At a party",8,Ratatouille,Soda,"Siblings,Friends",A moderate amount (medium),Pizza
854,2,3,"Week day lunch,Week day dinner,Weekend lunch",5 dollars,Ratatouille,Water,Friends,A little (mild),Pizza
855,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,None,Pepsi,Friends,None,Pizza
856,2,6,"Week day lunch,At a party,Late night snack",5,N.A. (I only watched a few movies so I cannot think of any movie related to Pizza),water,Strangers,None,Pizza
857,3,I would expect between 3 and 6 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay $4 for one slice of pizza.,Cloudy With a Chance of Meatballs,A soda,Friends,None,Pizza
858,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Parents,Siblings",A little (mild),Pizza
859,2,"Flower, Yeast, Water, Olive Oil, Tomato, herbs, cheese, pepperoni.
8 Ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Teenage Mutant Ninja Turtles ,Iced Tea,Friends,A moderate amount (medium),Pizza
860,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 CAD,The Godfather,Diet coke,"Siblings,Friends",A moderate amount (medium),Pizza
861,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,Teenage Mutant Ninja Turtles,Coke,Friends,None,Pizza
862,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4,The Mario Movie,Orange Crush Soda,"Parents,Siblings",A little (mild),Pizza
863,3,14,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,Spider-man 2,coke,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
864,3,6-20 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
865,3,6,"Weekend dinner,At a party,Late night snack",$4,Cloudy with a chance of meatballs,Soda,"Parents,Friends",None,Pizza
866,2,I think this food item 7 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I expect to pay 4 dollar with tax.,Cloudy with a chance of meatballs,Diet pepsi.,"Siblings,Friends",None,Pizza
867,2,6,"Weekend lunch,Weekend dinner,At a party",4$,ratatouille.,sprite or juice.,"Friends,Strangers",None,Pizza
868,3,"Cheese, Pineapple, bacon, sausage, onions, tomatoes, paparoni","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,The Godfather,Coke,"Siblings,Friends",None,Pizza
869,3,Probably like 10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 bucks,Cloudy with a chance of meatballs,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza
870,3,3-4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15,Teenage Mutant Ninja Turtles,soda,"Parents,Siblings,Friends",None,Pizza
871,2,4 ingredients,"Week day lunch,Week day dinner,Weekend dinner,At a party","(As in one slice) $3

(As in one small pizza) $10",Home Alone,Coke Zero,"Parents,Siblings,Friends,Teachers,Strangers",A moderate amount (medium),Pizza
872,4,4,"Week day lunch,At a party,Late night snack",4.4,The Hangover,coke,Parents,A little (mild),Pizza
873,2,8-4,"Weekend dinner,At a party,Late night snack",15,The Dark Knight,Nestea,Friends,A little (mild),Pizza
874,3,"3 ingredients,  

* Pizza dough

* Tomato sauce

* Mozzarella cheese","Week day lunch,At a party",5 dollar.,Teenage Mutant Ninja Turtles,Coke.,Friends,A little (mild),Pizza
875,3,3-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Ratatouille ,Water,"Parents,Siblings,Friends",None,Pizza
876,3,8,"Week day lunch,Weekend dinner,At a party",$5,American Pie,Cola,"Friends,Teachers",None,Pizza
877,3,#NAME?,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5/serving,Mean Girls,Sprindrift,Friends,None,Pizza
878,3,5,At a party,$2,Friday,Diet coke,Friends,A little (mild),Pizza
879,2,For a classic cheese style it would be 3-4 ingredients. For typical styles around 7-8.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","One medium serving, it would be expected to pay around $20.",Home Alone is the first movie that comes to minds. Im referring to the scene were the whole family order 10+ boxes of pizza and their trying to see who is going to pay.,"Probably a fizzy drink, ideally coca-cola. ","Parents,Siblings,Friends",A little (mild),Pizza
880,2,I would expect this food item to contain 5 ingredients.,"Week day lunch,Weekend lunch,At a party",I would expect to pay $10 for one serving of this food item.,I think of spiderman when thinking of this food item.,I would pair with this food item with iced tea.,"Friends,Teachers",None,Pizza
881,4,5,"At a party,Late night snack",20,Toy Story,Water,Friends,None,Pizza
882,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,Ninja Turtles,Coke,"Siblings,Friends,Strangers",A moderate amount (medium),Pizza
883,3,7 ,"Week day lunch,Weekend lunch,At a party,Late night snack",$2.50 CAD,Garfield,Pepsi,"Parents,Friends",A moderate amount (medium),Pizza
884,3,10 ,"Week day lunch,Weekend lunch,At a party",$3,Pirates of the Caribbean ,pepsi,Strangers,A lot (hot),Pizza
885,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",9,This is the end,Sprite,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
886,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$25,Karate Kid,Water,Friends,A little (mild),Pizza
887,3,4-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,Goodfellas,coke,"Friends,Teachers",A little (mild),Pizza
888,3,"Four ingredients: Dough, sauce (usually [tomato sauce] (https://en.wikipedia.org/wiki/Tomato_sauce)), cheese (typically [mozzarella] (https://en.wikipedia.org/wiki/Mozzarella)) ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars for a 4people pizza,Ratatouille,Any soft drink,"Siblings,Friends,Teachers",A little (mild),Pizza
889,2,"If we include making the dough, 10 ingredients are needed. If not, 5 (depending on the number of toppings).","Weekend dinner,At a party","For a box, approximate $12-$17, depending on the size ordered.",Teenage Mutant Ninja Turtles,A soda,"Siblings,Friends",A little (mild),Pizza
890,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends,Strangers",None,Pizza
891,2,">=3 More than three. dough, sauce, cheese, some meat or vegetable, or pineapple.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 to 20 dollars.,Ready Player One. There is pac-man inside and pizza looks like one.,coca cola. ,Strangers,None,Pizza
892,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",None,Pizza
893,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8,Spider Man,Soda,"Parents,Friends,Teachers",None,Pizza
894,4,the basic would be about 8 ,"Weekend dinner,At a party",3  ,ninja turtle ,coke ,Friends,None,Pizza
895,4,8,Weekend dinner,15,The Gentlemen ,Martini Cocktail ,Friends,None,Pizza
896,1,I would expect 5 ingredients if we make our dough from scratch.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay 3.95$ for a slice.,Teenage mutant ninja turtle,Coca-cola,Friends,A little (mild),Pizza
897,3,"Flour, water, eggs (idt there is yeast), salt, tomatoes, cheese, + n many additional ingedients.

Atleast 6.

 ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5-$10,"Rattatouie, even though there isnt pizza.",Water,Strangers,A little (mild),Pizza
898,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4,The Godfather,Pepsi,"Friends,Teachers",None,Pizza
899,3,I would expect this food item to contain about 3 to 7 ingredients,"Week day lunch,Week day dinner,At a party,Late night snack",$5,Pulp Fiction,Gingerale (Canada Dry),"Parents,Friends",A little (mild),Pizza
900,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5.00,Teenage Mutant Ninja Turtles,Pop/Soda,"Siblings,Friends",None,Pizza
901,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 for a slice of pizza ,Spiderman,Coke,"Siblings,Friends",A moderate amount (medium),Pizza
902,3,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$3,cloudy with a chance of meatballs,Sprite,"Friends,Teachers",None,Pizza
903,2,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,no movie,ice tea,Friends,None,Pizza
904,3,5,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$3 or $3.50,I think of the show Gilmore Girls. They're always eating pizza. ,"Soda, personally Sprite. ","Siblings,Friends",None,Pizza
905,2,"5-10, including the dough, sauce, cheese and toppings","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 for each piece,spiderman,coca-cola,Friends,None,Pizza
906,3,8,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,Ninja turtles,Coca cola,Friends,A moderate amount (medium),Pizza
907,2,"three; cheese, tomato sauce, dough","Week day dinner,Weekend lunch,At a party",$4,Happy Gilmore,Water,"Parents,Siblings,Friends",A little (mild),Pizza
908,3,5,"Week day lunch,At a party,Late night snack",3 dollars,Ratatoullie,Coke,"Siblings,Friends",None,Pizza
909,2,5,"Weekend lunch,At a party",6,Inception,sprite,Friends,A little (mild),Pizza
910,3,At least 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 dollars,Spiderman 2,Water,"Parents,Siblings,Friends",A little (mild),Pizza
911,3,6,"At a party,Late night snack",4,back in action,Diet Coke,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
912,2,4,"Week day lunch,Weekend lunch,At a party",3.50 CAD,Teenage Mutant Ninja Turtles,Coke,Friends,A moderate amount (medium),Pizza
913,2,4,"Weekend lunch,Weekend dinner,At a party",3 dollars,masterchef,soda,Friends,None,Pizza
914,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,Spiderman 2,Fanta,Parents,None,Pizza
915,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11,Home alone,Coke,Friends,I will have some of this food item with my hot sauce,Pizza
916,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,Spider-Man 2,Sprite,"Siblings,Friends",None,Pizza
917,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$3,Italian movie,soft drink,Strangers,A little (mild),Pizza
918,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10,Die Hard,Soda,"Parents,Siblings",A little (mild),Pizza
919,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Social Network,Red Wine or Coca Cola,"Friends,Strangers",A little (mild),Pizza
920,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5,Neverending Story,Soda,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
921,3,10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8,Maze Runner,Mountain Dew,Friends,None,Pizza
922,3,around 15 ingredients,"Week day lunch,Weekend dinner,At a party",around $5,Home Alone,soft drinks,"Siblings,Friends,Teachers",A lot (hot),Pizza
923,2,mandatory ingredients: 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Diary of a Wimpy Kid: Rodrick Rules,Sprite,"Parents,Siblings,Friends",A lot (hot),Pizza
924,5,4,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Spider Man 2,Coca Cola,"Parents,Siblings,Friends",None,Pizza
925,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8$,Transformer,coke,"Siblings,Friends",None,Pizza
926,2,5 to 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 to 3 dollars,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",A lot (hot),Pizza
927,2,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$5,Spider-Man 2,Coca-Cola,"Friends,Teachers",None,Pizza
928,4,"Around 9 to 10 ingredients, such as wheat flour, oil, water, sugar, salt, yeast, tomato sauce, cheese, and some meats.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $5.,"When thinking of pizza, it would reminder me of Italy, and the first movie that came to mind was Malena.",Coke.,"Siblings,Friends,Teachers,Strangers",None,Pizza
929,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3,Spiderman,Soda,"Parents,Siblings,Friends",None,Pizza
930,4,"At least 3 with the dough cheese and sauce, afterwards is user preference for anywhere between 3-8 toppings being standard","Week day lunch,Week day dinner,Weekend dinner,At a party",about 2 dollars for a slice but for a full pizza depending on the size between 12-24 dollars,Anchorman,Coke a cola,Friends,None,Pizza
931,3,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$5,Friends,Soda,Friends,A moderate amount (medium),Pizza
932,2,"flour, pepperoni, bacon, cheese, chicken, some sauce
6 ingredients","Week day lunch,Weekend dinner,At a party,Late night snack","For a whole pizza with 16 inches, $30",Zootopia,Coke,Friends,A moderate amount (medium),Pizza
933,4,around 5 to 10 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4 dollars,Home Alone,Sprite,Friends,None,Pizza
934,3,"Well I guess if we're counting the ingredients for the dough, probably at least 6 - 7 for a cheese pizza, more for anything more complex.

 

If not counting ingredients for dough, then a cheese pizza has 3: dough, sauce, and cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party"," 5$ for a slice of generic cheaper pizza, 15-20 for a whole pizza chain pizza size medium and 15-30 for a whole smaller more gourmet pizza.",I don't watch movies.,Ice tea???? Or fountain drinks in general. I like Dr. Pepper,Friends,A lot (hot),Pizza
935,3,"Around 4-5: Dough, sauce, cheese, toppings.

(However, it depends on how you classify ingredients; for instance, you could divide sauce into tomatoes, salt, olive oil, etc).","Weekend lunch,Weekend dinner,At a party",4-6 dollars,"To be honest I can't really think of any movie

But if I have to answer I would say Minions: Rise of Gru",Soda,"Friends,Teachers",None,Pizza
936,3,About 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$6 + tax for 2 slices, so 6","Ratatouille, because the rat is Italian and Italians like pizza","Water, because water is good for you","Parents,Siblings,Friends,Teachers,Strangers",I will have some of this food item with my hot sauce,Pizza
937,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,None,Soft drink,Friends,None,Pizza
938,3,"About 4 such as milk, flour to make the dough, tomato sauce, and cheese to make a foundational cheese pizza","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $2-3 give or take,Terminator,"Pop, soda, alcohol, or water",Friends,A little (mild),Pizza
939,3,"I expected to have 6 ingredients.

 

flour

tomato sauce

cheese

oil

yeast

Basil

 ","Week day lunch,Weekend lunch,At a party,Late night snack","I will expect to pay 6 dollars for one serving of this food item.

 ",I think about about the movie Home Alone.,I will pair this food item with sparkling water.,Friends,None,Pizza
940,4,5 - 6 ingredients. ,Weekend lunch,None,Men in Black,Diet coke,Teachers,A little (mild),Pizza
941,4,7,"Week day dinner,Weekend lunch,Weekend dinner,At a party",15,Teenage Mutant Ninja Turtles,Water,"Parents,Strangers",None,Pizza
942,4,13,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends",None,Pizza
943,4,"The number of ingredients vary depending on what ""version"" of the food item you're making, but generally it has at least 3","Week day lunch,Weekend lunch,At a party",$5-$10,Teenage Mutant Ninja Turtles,Soda,"Siblings,Friends",None,Pizza
944,3,More than 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Green Book,Orange juice,Parents,None,Pizza
945,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",24,The DaVinci Code,Ginger Ale,"Siblings,Friends",A little (mild),Pizza
946,4,"flour, oil, cheese, tomato sauce, pepperoni, so 5 ingredients.","Weekend lunch,At a party,Late night snack",5 dollars,action movie like mission impossible,coke,Friends,A little (mild),Pizza
947,2,3,"Week day lunch,Week day dinner,Weekend dinner,At a party",$4,Spider-man,Soda,"Parents,Friends,Teachers",A little (mild),Pizza
948,5,"dough

pizza red sauce

onions

garlic

pepperoni

bacon

hot peppers

green peppers

mushrooms

ham

pineapple

double mozzarella cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",if one serving means 1 slice = price approx for slice = $4,I think of the Ninja Turtle movies when thinking of pizza,i like Coke Cola the best with this pizza,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
949,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,"Crazy, Stupid, Love",Coke,"Friends,Strangers",A little (mild),Pizza
950,2,"I would expect this food to contain multiple ingredients, but only a minimum of three elements. That means that it would take multiple ingredients to make a single element, i.e flour, salt, olive oil, yeast and other ingredients to make dough, where the dough is one element that is comprised of several ingredients. In terms of numbers, I would expect about 7-15 ingredients to make this food item.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay between $2-5 CAD for one serving of this food item.,I think of the movie Little Italy. The entire plot revolves around two individuals who are competing in a restaurant business where their primary product is this food item.,"I would pair this food item with a soda of choice. For me, that would be Diet Coke. I am also a fan of pairing this food item with apple juice.","Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
